# SSG Migration Database
# source_lib	source_path	ssg_path	status	module	last_updated	notes	source_sync_commit	last_sync_date
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/EmojiVisitor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/EmojiVisitorExt.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/EmojiDelimiterProcessor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/EmojiJiraRenderer.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/EmojiNodeFormatter.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/EmojiNodeRenderer.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/EmojiOptions.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/EmojiReference.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/EmojiResolvedShortcut.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/EmojiShortcuts.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/CompoundEnumeratedReferenceRendering.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedOrdinalRenderer.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceBase.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceBlock.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceExtension.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceLink.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceRendering.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceRepository.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceText.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceVisitor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceVisitorExt.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferences.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/internal/EnumRefTextCollectingVisitor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/internal/EnumeratedReferenceBlockParser.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/internal/EnumeratedReferenceFormatOptions.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/internal/EnumeratedReferenceLinkRefProcessor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/internal/EnumeratedReferenceNodeFormatter.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/internal/EnumeratedReferenceNodePostProcessor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/internal/EnumeratedReferenceNodeRenderer.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/internal/EnumeratedReferenceOptions.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/internal/EnumeratedReferenceParagraphPreProcessor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/internal/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
